risorsa,url,title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,latitude,longitude,href
24540188788,https://farm5.staticflickr.com/4582/24540188788_2b4f4e531b_o.jpg,Palermo - Capitaneria del Porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,81,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (81),CC BY SA 4.0,"Porto, barche, pescatori, pesca, capitaneria, dogana, Palermo",Palermo,38.121120,13.370704,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540188788
24540337488,https://farm5.staticflickr.com/4585/24540337488_1bb1ece67b_o.jpg,Porta Doganella,"Dr. Stenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,134,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (134),CC BY SA 4.0,"La Cala, Porta Doganella, Monte Pellegrino, Castello a Mare, Chiesa di Santa Maria della Catena, Palermo",Palermo,38.119297,13.369009,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540337488
24540400498,https://farm5.staticflickr.com/4576/24540400498_7eb0d09f65_o.jpg,Palermo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,83,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (83),CC BY SA 4.0,"Porto, barche, barche a vela, Palermo",Palermo,38.122504,13.380188,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540400498
24540694658,https://farm5.staticflickr.com/4554/24540694658_614d2ba4db_o.jpg,Palermo - Il Monte Pellegrino col porto e l'antemurale,"Dr Trenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,87,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (87),CC BY SA 4.0,"Porto, barche, nave, molo, banchina, Monte Pellegrino, Dogana, capitaneria, La Cala, Palermo",Palermo,38.121120,13.370704,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540694658
24540719758,https://farm5.staticflickr.com/4563/24540719758_c9d8bc3957_o.jpg,Palermo - Porta Guccia,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,138,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (138),CC BY SA 4.0,"Porta Guccia, Palermo",Palermo,38.115980,13.351317,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540719758
24540814148,https://farm5.staticflickr.com/4569/24540814148_2328857368_o.jpg,Palermo - Porto Antemurale e Monte Pellegrino,ed. G. Genova Scarpinato,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,89,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (89),CC BY SA 4.0,"Porto, barche, nave, molo, banchina, Monte Pellegrino, Antemurale, Palermo",Palermo,38.123213,13.372421,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540814148
24540922888,https://farm5.staticflickr.com/4536/24540922888_9b5790c572_o.jpg,Palermo - Porta dei Greci,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,141,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (141),CC BY SA 4.0,"Palazzo Forcelli, Porta dei Greci, Palazzo Baucina, Palermo",Palermo,38.117508,13.373665,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540922888
24540980828,https://farm5.staticflickr.com/4578/24540980828_9a40d1e668_o.jpg,Palermo - Porta Castro-S. Giovanni Eremiti,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,142,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (142),CC BY SA 4.0,"San Giovanni degli Eremiti, chiesa di San Giuseppe Cafasso, via dei benedettini, Porta Castro, Palermo",Palermo,38.109320,13.355040,https://www.flickr.com/photos/biblioteca-comunale-palermo/24540980828
24541357148,https://farm5.staticflickr.com/4562/24541357148_38c6c71c9e_o.jpg,Palermo - Ospedale S. Saverio dal Corso Tukery,"F. Verderosa, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,145,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (145),CC BY SA 4.0,"Porta Giglio, Ospedale San Saverio, Palermo",Palermo,38.109658,13.358473,https://www.flickr.com/photos/biblioteca-comunale-palermo/24541357148
24561600048,https://farm5.staticflickr.com/4547/24561600048_bdcbb09bc2_o.jpg,Palermo - Molo e Monte Pellegrino,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,91,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (91),CC BY SA 4.0,"Porto, barche, nave, molo, banchina, Monte Pellegrino, Palermo",Palermo,38.131957,13.370060,https://www.flickr.com/photos/biblioteca-comunale-palermo/24561600048
