title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Villa Florio - Olivuzza,"G. Valdes, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,181,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (18),CC BY SA 4.0,"Villino Florio, Palermo",Palermo,42874573525
"Palermo – villino Di Chiara, Via Libertà",,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,171,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (171),CC BY SA 4.0,"villino Di Chiara, Via Libertà, Palermo",Palermo,42887854664
Palermo – Collezione Chiaramonte Bordonaro – Il Redentore (Correggio),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,196,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (196),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896021855
Palermo – Collezione Chiaramonte Bordonaro – S. Giovanni Battista (Guercino),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,195,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (195),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022065
Palermo – Collezione Chiaramonte Bordonaro – Testa di giovine (Rembrant),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,194,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (194),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022165
Palermo – Collezione Chiaramonte Bordonaro – Ritratto di Margherita Zifrrers (Hans Holbein il giovine),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,193,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (193),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022295
Palermo – Collezione Chiaramonte Bordonaro – Gesù crocifisso fra i ladroni (Giottino Tommaso Di Stefano),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,192,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (192),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022405
Palermo – Collezione Chiaramonte Bordonaro – La Madonna col Figlio e S. Giovanni (Botticelli),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,191,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (191),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022515
Palermo – Collezione Chiaramonte Bordonaro – La Moltiplicazione dei Pani (Tintoretto),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,190,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (190),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022645
Palermo – Collezione Chiaramonte Bordonaro – Una Santa (Filippino LIppi),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,189,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (189),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022795
