latitude,longitude,risorsa
38.115541,13.374030,26900496389
38.120445,13.358130,26900605189
38.124429,13.355877,26920747949
38.117145,13.363333,26921398509
38.124733,13.354547,26922296389
38.124446,13.355298,26922488609
38.111531,13.353452,26929657857
38.111531,13.353452,26931206057
38.124986,13.356027,26940934399
38.130218,13.352218,26941394589
38.132750,13.359503,26941474559
38.130218,13.352218,26941553359
38.106263,13.373461,26942704379
38.109868,13.379309,26942896689
38.119373,13.362153,26942909419
38.120631,13.366413,26943433379
38.112949,13.377785,26944024619
38.112848,13.378472,27048433499
38.112704,13.378536,27072132419
38.116739,13.373848,27373678649
38.116900,13.373558,27373727679
38.117221,13.373386,27373858629
38.116812,13.343024,27464945908
38.110552,13.350577,27555316027
38.110670,13.350512,27555457627
38.110670,13.350534,27555458047
38.116950,13.341608,27843394758
38.110729,13.349643,27920564157
38.111531,13.353452,27928967058
38.111531,13.353452,27929127388
38.111531,13.353452,27930898458
38.145796,13.369696,28341829257
38.136477,13.348217,28425917257
38.127214,13.353710,28445284127
38.136514,13.348270,28445602487
38.109556,13.352637,28468059357
38.109573,13.352894,28489150977
38.111244,13.352487,28552059598
38.110636,13.350534,28552293788
38.110653,13.350555,28552294198
38.106601,13.336758,28596782638
38.107715,13.342573,28597549138
38.122328,13.343431,28696735947
38.107639,13.342498,28761965638
38.126185,13.362765,28841586797
38.119686,13.343624,28841835977
38.131079,13.352851,28863179157
38.120344,13.357186,28962715237
38.120411,13.357143,28962743247
38.102312,13.328819,29005021297
38.102279,13.328948,29005021877
38.115921,13.374835,29143388618
38.127054,13.353635,29424823818
38.154883,13.336640,29488165228
38.155228,13.336243,29488207588
38.119128,13.371520,29488266108
38.126277,13.338754,29488614688
38.122733,13.356896,30007765498
38.122867,13.356649,30072988228
38.129695,13.347015,30073134058
38.121036,13.356928,30073151108
38.102312,13.328905,30073607128
38.102295,13.329012,30073845578
38.102245,13.328926,30073926638
38.145307,13.370146,30393165247
38.145307,13.370146,30393165357
